latitude,longitude,Neighborhood,City,State,Metro,CountyName,SizeRank,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01
47.668328,-122.387233,Ballard,Seattle,WA,Seattle-Tacoma-Bellevue,King County,429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47.614592,-122.348464,Belltown,Seattle,WA,Seattle-Tacoma-Bellevue,King County,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1855,1835,1865,1828,1815,1842.5,1870,1950,1895,1897.5,1820,1652.5,1700,1800,1800,1775,1782.5,1762.5,1725,1741,1778.5,1770,1723,1727,1724.5,1701,1791,1753.5,1783.5,1712,1742,1752,1825,1849,1751,1717,1603,1749.5,1795,1816,1850,1944.5,2026.5,2000,2029,1995,1875,1868,1739,1780.5,1775,1750,1816,1917,1995,2000,1973.5,1848.5,2025,2050,2028,1980
47.538786,-122.275961,Brighton,Seattle,WA,Seattle-Tacoma-Bellevue,King County,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2450,2500,2188.5,2158,2164.5,2150,2131,2085.5,2011,1975,1975,2000,2084,2233,2229,2250,2225.5,2282,2250,2185,2234,2242.5,2197.5
47.62622,-122.315979,Capitol Hill,Seattle,WA,Seattle-Tacoma-Bellevue,King County,173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825,1784,1784,1784,1726,1726,1726,1725,1779.5,1779.5,1816,1849,1933,1905,1749,1800,1770.5,1691.5
47.724628,-122.287479,Cedar Park,Seattle,WA,Seattle-Tacoma-Bellevue,King County,544,,,,,,,,,,,,,,,,,,,1187.5,1150,1195,1142.5,1150,1100,1200,1304,1400,1525,1450,1395,1425,1392.5,1435,1365,1316.5,1450,1450,1450,1375,1385,1450,1435,1500,1495,1450,1395,1450,1530,1595,1500,1595,1738,1845,1847.5,1797.5,1750,1698,1695,1695,1745,1750,1795,1825,1790.5,1849.5,1850,1800,1800,1800,1800,1795,1775,1797.5,1850,1817,1866,1750,1860.5,1850,1745,1800,1747.5,1814,1780,1750,1795,1850,1950,2065,2120,2055,1945,1930,1895,1875,1895,1895,1915,1995,2030,2035,1975,2000,1913,1950,1925,1916,1895
47.615618,-122.337897,Denny Triangle,Seattle,WA,Seattle-Tacoma-Bellevue,King County,631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1467.5,1495,1452.5,1479,1476,1591.5,1555,1580.5,1548.5,1532,1528,1562
47.607346,-122.335089,Downtown,Seattle,WA,Seattle-Tacoma-Bellevue,King County,487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495,2464,2420,2420,2435,2433,2395,2330,2357.5,2367.5,2322,2475,2389,2657.5,2595,2582,2600,2595,2610,2647.5,2625,2500,2484,2438,2497,2581.5,2393,2536,2479,2559,2373.5,2500,2420,2528.5,2780,2737.5,2664,2665,2678.5,2900,2905,2910,2885,2815,2905,2940,2887.5,2935,2895,2946.5,2892.5,2895,2940,2900,2920,2960,2935
47.643806,-122.326777,Eastlake,Seattle,WA,Seattle-Tacoma-Bellevue,King County,627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2682.5,2582.5,2555,2587.5,2559,2511,2400,2375,2375,2525,2540,2475,2540,2495,2413.5,2400,2260,2298
47.558159,-122.378924,Fairmount Park,Seattle,WA,Seattle-Tacoma-Bellevue,King County,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2126,1941,2100,1895,1924.5,2098,2050,1945,2022.5,2022.5,2150,2106,2018,1936,1887,1785,1889,1880,1995,1923
47.60819,-122.323829,First Hill,Seattle,WA,Seattle-Tacoma-Bellevue,King County,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1582.5,1521,1537,1495,1496.5,1547,1550,1560.5,1572,1595,1644,1615.5,1623,1611,1530,1530,1470
47.656187,-122.352184,Fremont,Seattle,WA,Seattle-Tacoma-Bellevue,King County,353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1380.5,1422,1550,1780,1770,1795,1765,1795,1805,1765,1795,1675,1810,1812.5,1895,1895,1965,1945,1895,1915,1985,2144,2095,2030,1975,2030,1940,1970,2012.5,1926,1970,1975,1850,1885,1835,1695,1775,1950,1800,1792,1915,1915,1905,1900,1850,1840,1835,1795,1850,1880,1840,2094.5,2230,2312.5,2183,2095,2060,2127.5,2215,2100
47.564809,-122.38585,Genesee,Seattle,WA,Seattle-Tacoma-Bellevue,King County,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1742.5,1817,1825,1826,1925,1826.5,1695,1930.5,1963,1865,1901,1895,1909,2066,2033,1823,1807,1695,1695,1772.5,1860.5,1851,1844,1725,1947.5,2054.5,2050,1710,1700,1802,1807,1803
47.679959,-122.333709,Green Lake,Seattle,WA,Seattle-Tacoma-Bellevue,King County,436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1921,1874.5,1847,1870,1881.5,1899,1899,1896,1913,1913.5,1936,1925,1895,1861,1845,1839.5,1845,1851.5
47.694211,-122.355289,Greenwood,Seattle,WA,Seattle-Tacoma-Bellevue,King County,288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1795,1810,1820,1875,1865,1797,1855,1795,1766,1650,1640,1695,1755,1755,1799,1923,1828.5,1890,1855,1735,1705,1725,1710,1742
47.628861,-122.354041,Lower Queen Anne,Seattle,WA,Seattle-Tacoma-Bellevue,King County,536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1497.5,1503.5,1556,1566,1495,1425,1400,1500,1450,1490,1650,1530,1550,1497.5,1550,1395,1362.5
47.649291,-122.36301,North Queen Anne,Seattle,WA,Seattle-Tacoma-Bellevue,King County,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1597.5,1550,1550,1650,1795,1871.5,1731,1637,1654.5,1700,1637.5,1628,1629.5,1614,1595,1615,1650,1622.5,1595,1620,1616,1650,1650,1641,1583.5
47.680657,-122.313832,Roosevelt,Seattle,WA,Seattle-Tacoma-Bellevue,King County,579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895,1771,1895,1895,1946,1625,1675.5,1650,1807,1595,1595,1648,1695,1595,1595,1700,1650,1650,1597.5,1635.5,1580,1600,1575
47.62908,-122.33685,South Lake Union,Seattle,WA,Seattle-Tacoma-Bellevue,King County,481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,1802.5,1880,1780,1867.5,1805,1799,1841,1820,1850.5,1765,1680,1831.5
47.66073,-122.305045,University District,Seattle,WA,Seattle-Tacoma-Bellevue,King County,209,,,,,,,,,,,,,,,,,,,,,,,,,1475,1475,1475,1475,1475,1475,1475,1499.5,1500,1541,1573,1525,1500,1632.5,1675,1676.5,1630,1651,1650,1673,1673,1672,1721,1795,1762.5,1749.5,1744,1820.5,1776,1924,1905,1954.5,1959,1953,1959,1998,1806,1790,2046,2085.5,2051.5,2074.5,2019.5,2039.5,1986.5,1956.5,1920,1917,1955.5,2135,1952,2072.5,2151.5,2045,2060,2017.5,2008,2026.5,1977,2133.5,2109.5,2112.5,2166,2235,2305,2300,2245,2172.5,2085.5,2086.5,2000,2020,2030,2060,2085,2415,2416,2415.5,2340,2522.5,2475,2500,2530,2640
47.622282,-122.354226,Uptown,Seattle,WA,Seattle-Tacoma-Bellevue,King County,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1587.5,1520,1485.5,1399.5,1515,1499,1549.5,1592,1491,1395,1528,1350,1490,1443,1500,1595,1587.5,1531,1642,1680,1696,1595,1547.5,1495,1589,1499,1595,1595,1581,1495,1491,1465,1600,1500,1493.5,1550,1495,1489.5,1550,1550,1512
47.658763,-122.334464,Wallingford,Seattle,WA,Seattle-Tacoma-Bellevue,King County,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2075,2335,2225,2197.5,2275,2251.5,2300,2320,2345,2277.5,2200,2247.5,2190,2090,2050,2000,2095,2110
47.636611,-122.342938,Westlake,Seattle,WA,Seattle-Tacoma-Bellevue,King County,606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1975,1995,1853,1909,1895,1695,1900,1865,1797.5,1790,1865,1950,1900,1885,1825,1968,1980,1923,1991,1969,2021,1968,1973.5,1973
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1825,1847,1850,2090,2190,2095,2095,2100,2040,2200,2270,2170,2185,2250,2205,2225,2125,2225,2200,2200,2195,2205,2150,2090,1966,1977
